ImageNumber,ObjectNumber,FileName_Mask,FileName_cell,PathName_Mask,PathName_cell,Intensity_IntegratedIntensityEdge_cell,Intensity_IntegratedIntensity_cell,Intensity_LowerQuartileIntensity_cell,Intensity_MADIntensity_cell,Intensity_MassDisplacement_cell,Intensity_MaxIntensityEdge_cell,Intensity_MaxIntensity_cell,Intensity_MeanIntensityEdge_cell,Intensity_MeanIntensity_cell,Intensity_MedianIntensity_cell,Intensity_MinIntensityEdge_cell,Intensity_MinIntensity_cell,Intensity_StdIntensityEdge_cell,Intensity_StdIntensity_cell,Intensity_UpperQuartileIntensity_cell,Location_CenterMassIntensity_X_cell,Location_CenterMassIntensity_Y_cell,Location_CenterMassIntensity_Z_cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cell,Location_MaxIntensity_Y_cell,Location_MaxIntensity_Z_cell,Number_Object_Number
1,1,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,1.7613488882780075,2.057190790772438,0.16117341443896294,0.059273675084114075,0.12338885006654012,0.30817121267318726,0.30817121267318726,0.22016861103475094,0.2285767545302709,0.2709086686372757,0.12414740025997162,0.12414740025997162,0.06947089629692701,0.06968167191303083,0.29642557352781296,1183.8694462150456,99.23295851877565,0.0,1183.888888888889,99.11111111111111,0,1183.0,99.0,0.0,1
1,2,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,8.026764330687001,103.87510475493036,0.06464866362512112,0.07878996059298515,0.3431068155686657,0.504127562046051,0.8991378545761108,0.10702352440916002,0.17576159857010212,0.1339665874838829,0.0,0.0,0.09904581674722511,0.16375206146274174,0.23348210752010345,217.44287668077624,102.35607051222232,0.0,217.48223350253807,102.01522842639594,0,218.0,102.0,0.0,2
1,3,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,9.455863318871707,70.26176853617653,0.08415350317955017,0.08310063928365707,0.5176001425369842,0.3538719713687897,0.7047684192657471,0.13133143498432925,0.18108703230973333,0.16289006173610687,0.0054016937501728535,0.0018616006709635258,0.08028476820711641,0.12353096253854422,0.2551003396511078,1350.04078048912,122.51901499058432,0.0,1350.2835051546392,122.0618556701031,0,1350.0,125.0,0.0,3
1,4,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,10.880827059503645,127.170031840913,0.06541542708873749,0.08187991380691528,0.1678754763400745,0.3959868848323822,0.963164746761322,0.12953365547028148,0.18646632234737975,0.14052033424377441,0.0,0.0,0.09704610584724363,0.18997509600793105,0.23546960204839706,1393.9149052714583,152.65976361213774,0.0,1393.7478005865103,152.64369501466277,0,1392.0,152.0,0.0,4
1,5,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,3.2539864107966423,7.781261891126633,0.13842985033988953,0.0801403820514679,0.14388497370501016,0.3493247926235199,0.47121384739875793,0.18077702282203567,0.2223217683179038,0.21950102597475052,0.04072633013129234,0.04072633013129234,0.09903233353302479,0.11145574660075888,0.29634927958250046,1190.772604889585,153.71750483154992,0.0,1190.8857142857144,153.62857142857143,0,1192.0,152.0,0.0,5
1,6,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,5.272343020886183,20.83533988520503,0.13540474325418472,0.07042039185762405,0.31371490613686487,0.3532616198062897,0.43338674306869507,0.18180493175469595,0.21045797863843466,0.20640879124403,0.04623483493924141,0.04623483493924141,0.07540741861657106,0.08816190225768153,0.27177080512046814,1744.766269438305,220.77232680634316,0.0,1744.4646464646464,220.85858585858585,0,1746.0,221.0,0.0,6
1,7,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,1.0216372907161713,1.0216372907161713,0.1732814572751522,0.07267871499061584,0.15033495636833358,0.30504310131073,0.30504310131073,0.20432745814323425,0.20432745814323425,0.23309681564569473,0.09071488678455353,0.09071488678455353,0.07405920300694216,0.07405920300694216,0.29181353002786636,340.6641674051097,286.3355786893052,0.0,340.8,286.4,0,340.0,286.0,0.0,7
1,8,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,11.90225072670728,91.84937826846726,0.07976272329688072,0.08603037148714066,0.05714282349101324,0.3626154065132141,0.8485389351844788,0.14694136699638616,0.1909550483751918,0.15893034636974335,0.002594033721834421,0.0014648661017417908,0.09922179147962384,0.14749019702129632,0.2570382282137871,684.1722304235908,313.9790224779146,0.0,684.1164241164241,313.96673596673594,0,683.0,314.0,0.0,8
1,9,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,4.392935054376721,8.634332723915577,0.11652170680463314,0.12388037145137787,0.6211715280993289,0.46941328048706055,0.6074005961418152,0.21964675271883607,0.24669522068330219,0.24089417606592178,0.01573205180466175,0.01573205180466175,0.10802263815202641,0.15506078305729462,0.3510986492037773,844.9856817409566,332.3356272149733,0.0,844.8,331.74285714285713,0,844.0,332.0,0.0,9
1,10,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,4.358815876767039,9.705775508657098,0.12368962727487087,0.08357366546988487,0.5267028252365333,0.3978790044784546,0.5236896276473999,0.18951373377247996,0.20650586188632122,0.19284351915121078,0.02546730823814869,0.02546730823814869,0.0981516402853492,0.11356532169838712,0.29118410497903824,361.6989692939029,382.2967340121021,0.0,361.5744680851064,382.8085106382979,0,361.0,378.0,0.0,10
1,11,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,5.382146961987019,7.249713918194175,0.17004653811454773,0.15255969762802124,0.5868024646335093,0.5775082111358643,0.5775082111358643,0.29900816455483437,0.3020714132580906,0.32396429777145386,0.08412298560142517,0.016464484855532646,0.16621277967939654,0.16446252496448563,0.45070573687553406,2198.024316471903,406.37796509041874,0.0,2198.0,405.7916666666667,0,2197.0,408.0,0.0,11
1,12,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,7.096085987985134,53.68653399311006,0.09818036295473576,0.0872892290353775,0.18057940126443833,0.6221560835838318,0.6221560835838318,0.12901974523609336,0.19105528111427067,0.17956053465604782,0.000839246204122901,0.0,0.10298624012355391,0.1278844932164862,0.2696841284632683,127.26750518274669,424.386858367592,0.0,127.33807829181495,424.220640569395,0,117.0,431.0,0.0,12
1,13,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,6.787518175318837,39.45166720333509,0.07772945798933506,0.11185626313090324,0.16225199934031773,0.6310216188430786,0.8482490181922913,0.15083373722930749,0.2155828808925415,0.17815671116113663,0.005722133442759514,0.0010528725106269121,0.1412173277093317,0.1680438126781573,0.3183680549263954,1321.0787854361388,453.1996573248904,0.0,1320.9726775956285,453.3224043715847,0,1319.0,454.0,0.0,13
1,14,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,6.762310254154727,40.561959330691025,0.11236743815243244,0.0795147642493248,0.1362548032669879,0.39018845558166504,0.6495002508163452,0.13524620508309454,0.20589827071416764,0.17673762142658234,0.0007782101165503263,0.0007782101165503263,0.09415231122462706,0.13231892816424778,0.28455405682325363,1301.9919164175856,467.1213451238153,0.0,1302.1218274111675,467.16243654822335,0,1302.0,466.0,0.0,14
1,15,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,5.256824564188719,12.320591989904642,0.20139620080590248,0.061448074877262115,0.26085677153582976,0.3816281259059906,0.5329060554504395,0.2285575897473356,0.26214025510435407,0.2684519588947296,0.0476539246737957,0.0476539246737957,0.07847969863700706,0.0989010286155648,0.32127106934785843,249.2978437566038,466.7344512748335,0.0,249.04255319148936,466.6808510638298,0,250.0,466.0,0.0,15
1,16,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,8.32674147747457,43.76607924513519,0.13929961249232292,0.07300678640604019,0.27147938092253077,0.40611886978149414,0.5889219641685486,0.18503869949943488,0.21993004645796577,0.20926222950220108,0.023025864735245705,0.023025864735245705,0.0886156853593108,0.10726317820906454,0.2900969013571739,630.9294009174235,473.51395888399765,0.0,631.1507537688442,473.356783919598,0,629.0,472.0,0.0,16
1,17,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,5.849973315373063,17.218020925298333,0.11316853389143944,0.07469291985034943,0.6268371782987621,0.382604718208313,0.48442816734313965,0.16714209472494465,0.19131134361442592,0.1887388378381729,0.015381094068288803,0.015381094068288803,0.08760762472005701,0.0963210964781207,0.2588921934366226,1502.4380560478867,486.5267014904778,0.0,1502.5444444444445,487.14444444444445,0,1502.0,483.0,0.0,17
1,18,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,11.298939515836537,81.9736631643027,0.10334935784339905,0.07594415545463562,0.17735512037873377,0.4737010896205902,0.6279392838478088,0.14485819892098123,0.18801298890895116,0.18022431433200836,0.009964141063392162,0.0,0.1002932722500089,0.1141094475169978,0.251102477312088,1302.9738528987566,485.0276319726041,0.0,1302.9564220183486,485.20412844036696,0,1308.0,479.0,0.0,18
1,19,11L VCAM 1_Probabilities_0.tiff,11L VCAM 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R1,8.169832862447947,17.723323305603117,0.0835774764418602,0.1026550680398941,0.3747070884127078,0.4573891758918762,0.504066526889801,0.17382623111591378,0.19476179456706721,0.20162508636713028,0.001983672846108675,0.001983672846108675,0.1213894721054463,0.12417015394778665,0.2779507115483284,302.5892562709007,494.26814940921594,0.0,302.4725274725275,493.9120879120879,0,297.0,496.0,0.0,19
