ImageNumber,ObjectNumber,FileName_Mask,FileName_cell,PathName_Mask,PathName_cell,Intensity_IntegratedIntensityEdge_cell,Intensity_IntegratedIntensity_cell,Intensity_LowerQuartileIntensity_cell,Intensity_MADIntensity_cell,Intensity_MassDisplacement_cell,Intensity_MaxIntensityEdge_cell,Intensity_MaxIntensity_cell,Intensity_MeanIntensityEdge_cell,Intensity_MeanIntensity_cell,Intensity_MedianIntensity_cell,Intensity_MinIntensityEdge_cell,Intensity_MinIntensity_cell,Intensity_StdIntensityEdge_cell,Intensity_StdIntensity_cell,Intensity_UpperQuartileIntensity_cell,Location_CenterMassIntensity_X_cell,Location_CenterMassIntensity_Y_cell,Location_CenterMassIntensity_Z_cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cell,Location_MaxIntensity_Y_cell,Location_MaxIntensity_Z_cell,Number_Object_Number
4,276,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,6.632608489133418,30.750698103569448,0.09871061518788338,0.05587854981422424,0.4838907153344349,0.2878919541835785,0.4159761965274811,0.14111932955603015,0.15223117873054182,0.14682230353355408,0.007492179982364178,0.007492179982364178,0.06908735971257857,0.07609226766147358,0.21438925713300705,277.218820812094,141.41317219572295,0.0,277.2970297029703,140.93564356435644,0,276.0,147.0,0.0,276
4,277,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,39.89785614609718,253.22002026438713,0.30682840943336487,0.03344777226448059,0.29176346481909615,0.4914015531539917,0.5143663883209229,0.3410073174880101,0.34034948960267086,0.33962005376815796,0.1893492043018341,0.1893492043018341,0.05782765157199965,0.04903194217237156,0.37338826060295105,897.0652882136543,137.11109558597346,0.0,897.3454301075269,137.02956989247312,0,888.0,142.0,0.0,277
4,278,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,15.511848643422127,57.755794659256935,0.3019455224275589,0.028870075941085815,0.1352033661694008,0.4582742154598236,0.4582742154598236,0.3231635134046276,0.3319298543635456,0.329671174287796,0.22864118218421936,0.22864118218421936,0.04960792929714743,0.04297473019492375,0.3591439723968506,1117.3313361698697,137.64977441109502,0.0,1117.3045977011495,137.51724137931035,0,1126.0,140.0,0.0,278
4,279,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.449912233278155,35.38896766863763,0.1194857731461525,0.03907835856080055,0.3991555333266535,0.2576791048049927,0.3659113347530365,0.16195461376691642,0.1601310754236997,0.1569695621728897,0.031097887083888054,0.027847714722156525,0.05608686049200054,0.057970947511948395,0.19926375150680542,507.43845979776285,143.70667629791882,0.0,507.7647058823529,143.93665158371041,0,501.0,145.0,0.0,279
4,280,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.8829022645950317,2.1527122855186462,0.2376592606306076,0.03671319782733917,0.08654292961184291,0.32294192910194397,0.32294192910194397,0.26898603779929026,0.2690890356898308,0.2698100209236145,0.21521323919296265,0.21521323919296265,0.03962820142202819,0.03706978978103225,0.3162584900856018,1353.7884928915769,145.12748975060416,0.0,1353.875,145.125,0,1353.0,146.0,0.0,280
4,281,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,14.937911052256823,41.85804542526603,0.10315098613500595,0.049698635935783386,1.2275689640044494,0.3782406449317932,0.43280690908432007,0.189087481674137,0.15855320236843193,0.1602349877357483,0.02996871992945671,0.00961318425834179,0.07164404815154236,0.07555493154165996,0.20886549353599548,2046.6683920484343,141.48161778603048,0.0,2045.7954545454545,142.34469696969697,0,2051.0,132.0,0.0,281
4,282,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,50.4079195857048,275.709147810936,0.3178912103176117,0.042092010378837585,1.511070672778509,0.5140459537506104,0.5588158965110779,0.35750297578514045,0.3585294509895136,0.3618219196796417,0.18173494935035706,0.15303273499011993,0.06810018737957046,0.062476924854052776,0.401789128780365,932.0021587234803,143.9140185666818,0.0,930.6332899869961,144.55396618985696,0,943.0,140.0,0.0,282
4,283,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,9.14421297237277,76.59275186806917,0.16005950793623924,0.06626230478286743,0.7242138580363104,0.4125276505947113,0.4151064455509186,0.15498666054869104,0.21821296828509737,0.2239566594362259,0.022766461595892906,0.02040131203830242,0.07683286490505314,0.08970172185465963,0.29127565026283264,185.28262442290526,147.21068388327612,0.0,184.75213675213675,147.7037037037037,0,184.0,143.0,0.0,283
4,284,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,41.17277797893621,469.37138944584876,0.25900664925575256,0.04936295747756958,1.1093154664295517,0.45185014605522156,0.5631341934204102,0.252593729932124,0.2952021317269489,0.3036545217037201,0.0,0.0,0.1125861617735747,0.1051721592999148,0.3602731227874756,834.5326614253494,143.67330575235806,0.0,833.5320754716981,143.1943396226415,0,849.0,126.0,0.0,284
4,285,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,37.26324853301048,212.7807126864791,0.30312810093164444,0.0316929817199707,0.2673393392943811,0.4728465676307678,0.4810559153556824,0.31579024180517357,0.3319511898385009,0.33929961919784546,0.126375213265419,0.10655374825000763,0.07021792874029843,0.05907113892425946,0.36831846833229065,1130.2028360279257,151.6970375731737,0.0,1129.9859594383774,151.85335413416536,0,1139.0,143.0,0.0,285
4,286,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,19.59816899895668,79.74575427174568,0.33445486426353455,0.03173878788948059,0.11030071086106398,0.532097339630127,0.532097339630127,0.3697767735652204,0.36580621225571414,0.3663233518600464,0.27876707911491394,0.24374762177467346,0.05305613580290469,0.046721925275851596,0.3962768018245697,1241.7218089103933,146.87356650489437,0.0,1241.7614678899083,146.77064220183487,0,1249.0,151.0,0.0,286
4,287,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,17.55408562719822,93.19169925525784,0.15888075157999992,0.03133440017700195,0.3667426723528286,0.3154345154762268,0.35835811495780945,0.18477984870734968,0.18979979481722575,0.18776989728212357,0.02832074463367462,0.02832074463367462,0.05609802716982696,0.04892475919570967,0.22132829204201698,1793.8231488933066,148.8760090749415,0.0,1793.460285132383,148.82281059063138,0,1794.0,152.0,0.0,287
4,288,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,21.361394740641117,164.41020825877786,0.20411993563175201,0.0321660041809082,0.10075665391615804,0.33777371048927307,0.40566110610961914,0.21577166404687997,0.23487172608396836,0.2379797101020813,0.06210421770811081,0.05197222903370857,0.05316599775999995,0.050176321755415976,0.2693827748298645,2247.324899725216,146.49282967890724,0.0,2247.4,146.56,0,2251.0,158.0,0.0,288
4,289,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,21.940749270375818,143.72350663878024,0.10389486700296402,0.052986953407526016,0.7127458831271171,0.32304874062538147,0.43413442373275757,0.13799213377594854,0.16022687473665578,0.16113527119159698,0.006134126801043749,0.005462729837745428,0.07117370477227365,0.07808489000171102,0.20851072669029236,1982.3036151587673,155.28968903965148,0.0,1982.2865105908584,156.00222965440358,0,1982.0,148.0,0.0,289
4,290,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,29.644037544727325,114.09195104241371,0.3498283326625824,0.030991077423095703,0.18660229407100598,0.4942397177219391,0.4942397177219391,0.38498750058087433,0.3803065034747124,0.3772945702075958,0.24452582001686096,0.24422064423561096,0.0550598487215266,0.04595365317512033,0.4141603708267212,954.964902720409,151.50909278448762,0.0,954.82,151.62666666666667,0,965.0,152.0,0.0,290
4,291,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.060273142065853,32.428641128819436,0.08450446277856827,0.047013044357299805,0.05756281140517414,0.24568551778793335,0.3008621335029602,0.12172884727699747,0.13290426692139112,0.13095292448997498,0.005157549399882555,0.005157549399882555,0.05928049663027137,0.06151872707062141,0.17909513413906097,40.971519063055005,153.203783061337,0.0,40.99590163934426,153.1516393442623,0,40.0,152.0,0.0,291
4,292,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,36.37499048002064,210.67977386526763,0.1587243527173996,0.039215683937072754,1.5126361756362865,0.31300830841064453,0.38960859179496765,0.1765776236894206,0.1980073062643493,0.20111390948295593,0.030685892328619957,0.016586557030677795,0.05250827980981369,0.05798875409037263,0.2384985089302063,623.3104456480922,148.6985178130708,0.0,621.9031954887218,148.1437969924812,0,635.0,152.0,0.0,292
4,293,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,1.0271152704954147,1.0271152704954147,0.23121996223926544,0.03704889118671417,0.018353092305792747,0.3006942868232727,0.3006942868232727,0.2567788176238537,0.2567788176238537,0.2682688534259796,0.22693216800689697,0.22693216800689697,0.030019439283849616,0.030019439283849616,0.3006942868232727,662.9958254011448,153.51787200944446,0.0,663.0,153.5,0,663.0,154.0,0.0,293
4,294,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,15.178118616342545,34.05284199118614,0.4313725531101227,0.028976887464523315,0.07380507892463231,0.5983062386512756,0.5983062386512756,0.4599429883740165,0.4601735404214343,0.4623483717441559,0.39102768898010254,0.3508964776992798,0.046340317864265616,0.044713583511208334,0.48898299038410187,1187.6399570187132,154.1391009272115,0.0,1187.581081081081,154.09459459459458,0,1188.0,158.0,0.0,294
4,295,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,65.60556943714619,470.5971002727747,0.29551002383232117,0.04078736901283264,1.5906263284476208,0.48670175671577454,0.5195086598396301,0.3280278471857309,0.3354220244282072,0.33720913529396057,0.17781338095664978,0.17781338095664978,0.07078388162787844,0.05735196096040415,0.3766193687915802,1044.4187072844652,149.53923614813783,0.0,1045.9101924447612,148.98645759087668,0,1047.0,147.0,0.0,295
4,296,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,60.08491639792919,503.7180892378092,0.33864346146583557,0.04166474938392639,0.5158817429868668,0.60764479637146,0.60764479637146,0.38028428099955186,0.382473871858625,0.37826353311538696,0.1908293217420578,0.17196917533874512,0.07177099467972031,0.061979295508207036,0.4209582731127739,1208.3233803967537,154.14087824298053,0.0,1208.8390280941535,154.15641609719057,0,1192.0,161.0,0.0,296
4,297,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.819027983117849,116.67342631774954,0.1353704072535038,0.057946138083934784,0.626594256692835,0.24655526876449585,0.4303654432296753,0.11453283094958246,0.1903318536994283,0.19195086508989334,0.007553216069936752,0.0023956664372235537,0.06763598409493447,0.08458830820692541,0.24991989135742188,113.89417492625445,157.08546762714056,0.0,113.27569331158239,157.18597063621533,0,113.0,157.0,0.0,297
4,298,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,3.811367988586426,9.90482947230339,0.1733272224664688,0.038864731788635254,0.20956822465088173,0.3192034661769867,0.3192034661769867,0.1905683994293213,0.20635061400632063,0.20125123858451843,0.11914244294166565,0.10714884847402573,0.05056870709596127,0.05285594588576794,0.24701304733753204,554.8737954603328,158.12143341035423,0.0,555.0833333333334,158.125,0,558.0,156.0,0.0,298
4,299,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,43.471183359622955,259.87669202685356,0.28784236311912537,0.046837568283081055,1.537900615456813,0.5710536241531372,0.5710536241531372,0.3422927823592359,0.34059854787267835,0.33143359422683716,0.1738612949848175,0.1738612949848175,0.09841376144417853,0.0747730413206456,0.3832646608352661,1078.5371783759283,159.39955159521014,0.0,1077.6199213630407,158.1651376146789,0,1075.0,174.0,0.0,299
4,300,11L Pan Cyto_Probabilities_0.tiff,11L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,23.72195002809167,186.89092836529016,0.22012664377689362,0.03418019413948059,0.37800514744652863,0.37358662486076355,0.43599602580070496,0.21763256906506118,0.253927891800666,0.26108187437057495,0.04948500916361809,0.037384603172540665,0.06442698005753482,0.05767326705620117,0.29143205285072327,1546.025960374581,169.30683374556997,0.0,1546.2622282608695,169.60190217391303,0,1543.0,179.0,0.0,300
