ImageNumber,ObjectNumber,FileName_Mask,FileName_cell,PathName_Mask,PathName_cell,Intensity_IntegratedIntensityEdge_cell,Intensity_IntegratedIntensity_cell,Intensity_LowerQuartileIntensity_cell,Intensity_MADIntensity_cell,Intensity_MassDisplacement_cell,Intensity_MaxIntensityEdge_cell,Intensity_MaxIntensity_cell,Intensity_MeanIntensityEdge_cell,Intensity_MeanIntensity_cell,Intensity_MedianIntensity_cell,Intensity_MinIntensityEdge_cell,Intensity_MinIntensity_cell,Intensity_StdIntensityEdge_cell,Intensity_StdIntensity_cell,Intensity_UpperQuartileIntensity_cell,Location_CenterMassIntensity_X_cell,Location_CenterMassIntensity_Y_cell,Location_CenterMassIntensity_Z_cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cell,Location_MaxIntensity_Y_cell,Location_MaxIntensity_Z_cell,Number_Object_Number
5,1,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,1.5214618146419525,1.6511024683713913,0.1571374088525772,0.008529797196388245,0.06417405243463609,0.21306172013282776,0.21306172013282776,0.16905131273799473,0.16511024683713912,0.16414129734039307,0.13696497678756714,0.12964065372943878,0.021052638860903607,0.023209486134355632,0.18335241079330444,50.681327109456745,1.8386026697270723,0.0,50.7,1.9,0,51.0,1.0,0.0,1
5,2,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.0,0.0,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.2375066727399826,0.0,0.0,0.2375066727399826,144.0,0.0,0.0,144.0,0.0,0,144.0,0.0,0.0,2
5,3,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,10.952300257980824,78.21974524110556,0.1528572514653206,0.019836723804473877,0.18668749824424358,0.26251620054244995,0.27458611130714417,0.16849692704585884,0.17229018775573912,0.17177081108093262,0.0960555449128151,0.05864042043685913,0.03511247673253446,0.031427263307111604,0.1927367001771927,147.33921487989738,4.952252094727294,0.0,147.52422907488986,4.927312775330397,0,149.0,6.0,0.0,3
5,4,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,3.636057063937187,8.431281007826328,0.16595330834388733,0.016426339745521545,0.11325705442719329,0.22488746047019958,0.24806591868400574,0.19137142441774668,0.17938895761332613,0.18233005702495575,0.13652247190475464,0.10463111102581024,0.02282906292775406,0.029733366509417592,0.19914168491959572,293.96710126882306,3.744038470734034,0.0,294.0425531914894,3.6595744680851063,0,292.0,6.0,0.0,4
5,5,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,0.9415579438209534,1.5901731848716736,0.1571221500635147,0.007400617003440857,0.03186553637565616,0.1740444004535675,0.17424276471138,0.1569263239701589,0.15901731848716735,0.16327153146266937,0.1280537098646164,0.1280537098646164,0.014283507205290454,0.012859344145479117,0.17025253176689148,340.5292672661941,0.8126031558758963,0.0,340.5,0.8,0,341.0,1.0,0.0,5
5,6,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,12.824918016791344,79.045914337039,0.26096361130476,0.04625009000301361,0.9275291324617049,0.40318912267684937,0.46964216232299805,0.29147540947253053,0.3149239615021474,0.32587167620658875,0.17866788804531097,0.17866788804531097,0.06213635823306513,0.06057886467521483,0.3609178364276886,525.650227593541,4.937018771239087,0.0,526.5776892430279,4.948207171314741,0,526.0,7.0,0.0,6
5,7,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,5.489250019192696,12.919905424118042,0.15734340250492096,0.008987560868263245,0.0993272109847029,0.21327534317970276,0.21327534317970276,0.16634090967250592,0.16563981312971848,0.16501106321811676,0.1265735924243927,0.1265735924243927,0.018553335912411675,0.01504903650365838,0.1743648424744606,845.8436989856397,6.185468174891125,0.0,845.8205128205128,6.282051282051282,0,841.0,11.0,0.0,7
5,8,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,4.943801008164883,19.855008773505688,0.11393911764025688,0.012085147202014923,0.24555771594834874,0.1731593757867813,0.17903409898281097,0.12676412841448417,0.12566461249054234,0.12463568896055222,0.08969253301620483,0.08862440288066864,0.02043954892806453,0.018526671888914926,0.13791866600513458,1815.644807317408,7.413876286967759,0.0,1815.4050632911392,7.360759493670886,0,1819.0,11.0,0.0,8
5,9,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,2.181811273097992,4.342839732766151,0.14876020699739456,0.017959877848625183,0.09389665366704003,0.20997940003871918,0.20997940003871918,0.16783163639215323,0.16703229741408274,0.16969558596611023,0.14079499244689941,0.13942168653011322,0.01942414450840394,0.01978376286227458,0.18001830577850342,1870.5630165003665,2.0311481034813936,0.0,1870.5,1.9615384615384615,0,1869.0,3.0,0.0,9
5,10,17L Pan Cyto_Probabilities_0.tiff,17L Pan Cyto.tif,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,Y:\coskun-lab\Jiaxun\Registration\registered\17L\R1,5.307621896266937,12.069947332143784,0.15932707116007805,0.023643858730793,0.3827442471260059,0.24985122680664062,0.24985122680664062,0.1965785887506273,0.18569149741759666,0.1908903643488884,0.12379644811153412,0.0948500782251358,0.031639174302000944,0.03397996041501887,0.21300450339913368,2229.2813386552743,4.698229086424685,0.0,2229.476923076923,4.369230769230769,0,2231.0,6.0,0.0,10
