ImageNumber,ObjectNumber,FileName_Mask,FileName_try,PathName_Mask,PathName_try,Intensity_IntegratedIntensityEdge_try,Intensity_IntegratedIntensity_try,Intensity_LowerQuartileIntensity_try,Intensity_MADIntensity_try,Intensity_MassDisplacement_try,Intensity_MaxIntensityEdge_try,Intensity_MaxIntensity_try,Intensity_MeanIntensityEdge_try,Intensity_MeanIntensity_try,Intensity_MedianIntensity_try,Intensity_MinIntensityEdge_try,Intensity_MinIntensity_try,Intensity_StdIntensityEdge_try,Intensity_StdIntensity_try,Intensity_UpperQuartileIntensity_try,Location_CenterMassIntensity_X_try,Location_CenterMassIntensity_Y_try,Location_CenterMassIntensity_Z_try,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_try,Location_MaxIntensity_Y_try,Location_MaxIntensity_Z_try,Number_Object_Number
4,1293,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,8.232730630785227,35.858518416062,0.13769741356372833,0.0791027843952179,0.5498143926849904,0.7444266676902771,0.7444266676902771,0.20079830806793236,0.2213488791114938,0.21295490860939026,0.02194247394800186,0.01283283717930317,0.14908928189507425,0.12754794200705907,0.29597924649715424,1662.7214292222516,487.7429259019505,0.0,1662.20987654321,487.94444444444446,0,1664.0,493.0,0.0,1293
4,1294,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.731975242495537,25.539772532880306,0.13064392656087875,0.08292514830827713,0.1296285489071167,0.695780873298645,0.695780873298645,0.20347303269725098,0.23430983975119546,0.2307698205113411,0.011963073164224625,0.011963073164224625,0.14438604710783376,0.13934704148611485,0.30446707457304,1783.9948737798604,486.1936156540033,0.0,1784.0183486238532,486.3211009174312,0,1784.0,483.0,0.0,1294
4,1295,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,5.826413381844759,21.91740288492292,0.09787517972290516,0.12024872377514839,0.5197431718209333,0.6756847500801086,0.802044689655304,0.18207541818264872,0.24085058115299915,0.20300602912902832,0.008529793471097946,0.008529793471097946,0.16574847342245058,0.18085075903524064,0.34585335850715637,1831.893042612001,486.75009833670106,0.0,1832.043956043956,486.25274725274727,0,1831.0,490.0,0.0,1295
4,1296,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,7.5913786590099335,34.07243458926678,0.1730830818414688,0.07743954658508301,0.12303708699805624,0.4766613245010376,0.5301289558410645,0.19465073484640855,0.24337453278047697,0.23018234968185425,0.014862287789583206,0.014862287789583206,0.10236964235585376,0.11232823933020133,0.3136644661426544,2106.5882615660757,486.8324533867331,0.0,2106.6642857142856,486.73571428571427,0,2106.0,490.0,0.0,1296
4,1297,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,4.866468265186995,15.949462075717747,0.07612344622612,0.11370259895920753,0.11952708048563725,0.48230716586112976,0.6591439843177795,0.17380243804239268,0.2126594943429033,0.19931334257125854,0.0008850232698023319,0.0008850232698023319,0.1315690792045807,0.1543180205983738,0.2856641411781311,2426.2635269526536,486.90846192372896,0.0,2426.1866666666665,487.0,0,2428.0,486.0,0.0,1297
4,1298,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.671290148049593,4.290745411068201,0.13220416754484177,0.07167163491249084,0.07697207482464215,0.3935454189777374,0.3935454189777374,0.1908064391463995,0.19503388232128185,0.19494926929473877,0.024612803012132645,0.024612803012132645,0.10828136328034833,0.10299381297865623,0.27015335857868195,191.16954131222255,487.92401329869153,0.0,191.1818181818182,488.0,0,191.0,490.0,0.0,1298
4,1299,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.867048144340515,5.720271617174149,0.08233005367219448,0.04583810269832611,0.2927098323745806,0.2373083084821701,0.31248950958251953,0.15089727075476395,0.1395188199310768,0.1567254140973091,0.03761348873376846,0.013534752652049065,0.06147734620494687,0.06663771666166264,0.18683908879756927,214.389617414702,487.6993608477113,0.0,214.14634146341464,487.5365853658537,0,216.0,487.0,0.0,1299
4,1300,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,3.5451590344309807,17.892744325101376,0.0797436460852623,0.08195620775222778,0.33393500760829653,0.3163195252418518,0.6267490386962891,0.11435996885261228,0.17892744325101376,0.1604180932044983,0.006820783019065857,0.006820783019065857,0.0831114344823358,0.12753765221484367,0.24237430095672607,700.8773632263628,489.85896736799816,0.0,700.71,489.57,0,703.0,491.0,0.0,1300
4,1301,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,2.718883060850203,7.78065160382539,0.08682383224368095,0.05902189016342163,0.630472189399331,0.24837109446525574,0.42320898175239563,0.1132867942020918,0.1440861408115813,0.1424277126789093,0.01362630631774664,0.01362630631774664,0.06411133200081379,0.08847595972713306,0.19333180785179138,1294.4031456914029,489.31423697336163,0.0,1295.0,489.1111111111111,0,1292.0,489.0,0.0,1301
4,1302,11L Collagen 1_Probabilities_0.tiff,11L Collagen 1.tif,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,Y:\coskun-lab\Jiaxun\Registration\registered\11L\R4,10.39949643611908,35.073945136740804,0.11791409179568291,0.07440300285816193,0.2352564445057073,0.6304417252540588,0.6304417252540588,0.18244730589682595,0.19704463559966745,0.18271152675151825,0.01187151949852705,0.01187151949852705,0.10807120692543044,0.10930828310359317,0.26998551189899445,2208.9651431227066,488.57382826019693,0.0,2209.0955056179773,488.7696629213483,0,2208.0,494.0,0.0,1302
